time,REWS
0.0,18.275612
0.25,18.305265
0.5,18.317242
0.75,18.368153
1.0,18.456429
1.25,18.537558
1.5,18.604303
1.75,18.642204
2.0,18.719343
2.25,18.75522
2.5,18.863449
2.75,18.86301
3.0,18.88291
3.25,18.96035
3.5,18.982519
3.75,19.014996
4.0,19.131735
4.25,19.145523
4.5,19.130539
4.75,19.23789
5.0,19.244089
5.25,19.232075
5.5,19.288084
5.75,19.304085
6.0,19.310421
6.25,19.342695
6.5,19.324013
6.75,19.386324
7.0,19.46813
7.25,19.490232
7.5,19.605791
7.75,19.624592
8.0,19.690525
8.25,19.779469
8.5,19.80579
8.75,19.848188
9.0,19.932358
9.25,19.966059
9.5,20.017265
9.75,20.045319
10.0,20.113661
10.25,20.234783
10.5,20.385807
10.75,20.419353
11.0,20.50795
11.25,20.527962
11.5,20.670256
11.75,20.819323
12.0,20.902851
12.25,20.969244
12.5,20.968481
12.75,20.983738
13.0,20.970171
13.25,20.943518
13.5,20.959486
13.75,20.962646
14.0,20.954372
14.25,20.920467
14.5,20.892508
14.75,20.870211
15.0,20.847509
15.25,20.848118
15.5,20.856064
15.75,20.857687
16.0,20.794878
16.25,20.814064
16.5,20.819731
16.75,20.793051
17.0,20.786566
17.25,20.789968
17.5,20.754543
17.75,20.797592
18.0,20.71126
18.25,20.694834
18.5,20.679417
18.75,20.620447
19.0,20.578093
19.25,20.541996
19.5,20.535843
19.75,20.552965
20.0,20.582878
20.25,20.589083
20.5,20.614019
20.75,20.56123
21.0,20.519281
21.25,20.492237
21.5,20.4627
21.75,20.387707
22.0,20.376822
22.25,20.296833
22.5,20.312582
22.75,20.251375
23.0,20.183649
23.25,20.134624
23.5,20.140656
23.75,20.134937
24.0,20.02882
24.25,19.915377
24.5,19.885813
24.75,19.858244
25.0,19.898932
25.25,19.901207
25.5,19.811802
25.75,19.82324
26.0,19.800903
26.25,19.781446
26.5,19.803274
26.75,19.79627
27.0,19.770729
27.25,19.778343
27.5,19.721876
27.75,19.757719
28.0,19.754328
28.25,19.795448
28.5,19.771797
28.75,19.687601
29.0,19.700731
29.25,19.70108
29.5,19.648649
29.75,19.648758
30.0,19.617012
30.25,19.582088
30.5,19.556498
30.75,19.546257
31.0,19.498421
31.25,19.461998
31.5,19.400175
31.75,19.348923
32.0,19.339767
32.25,19.217062
32.5,19.145653
32.75,19.116327
33.0,19.080017
33.25,19.029467
33.5,19.02499
33.75,18.993282
34.0,18.985815
34.25,19.019091
34.5,18.996176
34.75,18.992294
35.0,19.027914
35.25,18.980324
35.5,18.950062
35.75,18.945683
36.0,18.974974
36.25,18.931992
36.5,18.928648
36.75,18.935808
37.0,18.93693
37.25,18.856152
37.5,18.827028
37.75,18.757353
38.0,18.670485
38.25,18.592228
38.5,18.561289
38.75,18.518736
39.0,18.521444
39.25,18.522539
39.5,18.562202
39.75,18.541851
40.0,18.533314
40.25,18.545895
40.5,18.556723
40.75,18.485685
41.0,18.445396
41.25,18.445562
41.5,18.464933
41.75,18.420271
42.0,18.461941
42.25,18.473557
42.5,18.501127
42.75,18.473448
43.0,18.477865
43.25,18.560476
43.5,18.596033
43.75,18.67688
44.0,18.703178
44.25,18.77179
44.5,18.736078
44.75,18.72887
45.0,18.707876
45.25,18.65601
45.5,18.546032
45.75,18.465637
46.0,18.360285
46.25,18.308611
46.5,18.287066
46.75,18.233103
47.0,18.171782
47.25,18.114353
47.5,18.099518
47.75,18.098944
48.0,18.061922
48.25,18.10899
48.5,18.093748
48.75,18.075502
49.0,18.042723
49.25,18.055321
49.5,18.075865
49.75,18.047606
50.0,18.00322
50.25,17.985315
50.5,17.948252
50.75,17.908503
51.0,17.856899
51.25,17.840202
51.5,17.753214
51.75,17.680216
52.0,17.602438
52.25,17.570559
52.5,17.508469
52.75,17.450855
53.0,17.43215
53.25,17.388639
53.5,17.332489
53.75,17.250305
54.0,17.266834
54.25,17.200222
54.5,17.200705
54.75,17.23403
55.0,17.255556
55.25,17.252436
55.5,17.188503
55.75,17.147741
56.0,17.174461
56.25,17.159882
56.5,17.199965
56.75,17.267912
57.0,17.232916
57.25,17.194588
57.5,17.164305
57.75,17.079033
58.0,16.932516
58.25,16.833559
58.5,16.662146
58.75,16.564386
59.0,16.52865
59.25,16.454447
59.5,16.436304
59.75,16.400671
60.0,16.407866
60.25,16.392605
60.5,16.406961
60.75,16.404125
61.0,16.407932
61.25,16.402475
61.5,16.416258
61.75,16.452459
62.0,16.46007
62.25,16.467089
62.5,16.449059
62.75,16.450184
63.0,16.469105
63.25,16.411694
63.5,16.381832
63.75,16.297516
64.0,16.268101
64.25,16.336212
64.5,16.37594
64.75,16.319145
65.0,16.255926
65.25,16.156898
65.5,16.17131
65.75,16.151295
66.0,16.139095
66.25,16.194252
66.5,16.136902
66.75,16.08094
67.0,16.062492
67.25,16.067051
67.5,16.054434
67.75,15.98002
68.0,15.927765
68.25,15.87227
68.5,15.835832
68.75,15.803723
69.0,15.788776
69.25,15.775037
69.5,15.709078
69.75,15.650016
70.0,15.595049
70.25,15.568323
70.5,15.526085
70.75,15.408423
71.0,15.414131
71.25,15.331656
71.5,15.224953
71.75,15.14212
72.0,14.981789
72.25,14.908054
72.5,14.79178
72.75,14.733743
73.0,14.675342
73.25,14.578816
73.5,14.551444
73.75,14.469788
74.0,14.377964
74.25,14.294597
74.5,14.159236
74.75,14.088944
75.0,13.93527
