time,beamID,lineOfSightWindSpeed1,lineOfSightWindSpeed2,lineOfSightWindSpeed3,lineOfSightWindSpeed4,lineOfSightWindSpeed5,lineOfSightWindSpeed6,lineOfSightWindSpeed7,lineOfSightWindSpeed8,lineOfSightWindSpeed9,lineOfSightWindSpeed10,isValid1,isValid2,isValid3,isValid4,isValid5,isValid6,isValid7,isValid8,isValid9,isValid10
0.0,1.0,21.269684772207672,21.91616038411673,21.59541068091529,22.70601386950845,23.23359982408169,23.402668646435444,22.412495703991638,22.255063977659248,20.73154951137238,20.207237526983437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,2.0,20.16826918937547,20.739700016388973,23.087280488463037,22.718692649006393,19.686114424994077,19.86373142937269,18.915594824479605,18.6788613182293,18.649668088372596,19.278336945808803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,4.0,18.72684143583392,18.853306923281934,19.86936225184713,19.44211749489173,18.294160165300305,17.755295940526707,19.370092806821496,19.111398091296948,20.767054999649222,21.047746790450695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,20.56698069952334,21.22516111237837,21.641485143143534,22.38527878704627,22.966998656508128,22.67651689817786,21.06717526562741,20.235149613215295,20.073025802071157,19.845950670019437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.25,2.0,21.381389178699635,22.476059766943315,22.522342992330145,21.454701811835292,19.914704102168596,20.00471404114135,19.59549006233382,19.043746063082708,18.82979611839633,18.792737173080592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.5,3.0,23.365619794683482,21.82609148174467,19.257363221459038,18.383769556891018,16.06089914682095,15.98275031901579,15.775775800327791,14.847479385282178,14.0648499508976,14.569665878154035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.75,4.0,18.894164030023894,18.691587936107705,18.740909250263634,18.31304095499585,18.685772318532802,18.909761637745387,20.199331779162314,20.2563597660849,21.27470952692808,22.124240306733213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,3.0,23.624428037904813,20.287389602564613,17.90388819905809,17.084540855533973,16.422740993205135,16.28479906326748,15.984496613822945,15.248420792812167,14.610457024666585,14.576960074343578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,21.235635606624967,20.826995083194014,22.342536032415193,22.79989431978341,21.022538177510437,19.99723876925477,19.726937509771002,19.923927058493767,19.324617081495784,19.33373165757567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.25,2.0,22.89898576740951,21.96794670839666,21.029916414867845,20.216501815226835,19.37547006743166,18.47630491420265,17.797142000693654,17.581671053559862,16.98230719819561,16.92994570869576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.75,4.0,19.464311412137608,18.295543396966234,19.581474551046696,20.487972014977323,19.96181398603757,20.616638063033278,21.49742541134233,21.833315816432474,22.012681360002766,22.375778000745207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,20.185121348081204,20.828881266435722,21.42692675887945,21.00611463234244,19.81597825392994,19.145646132796195,18.897404225425017,18.896818850964703,18.830570060600383,18.617200072900435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,3.0,20.67073949380407,17.976455427792427,16.100653683007426,16.86687798050052,17.420907539451512,16.322383611019443,16.7262543731507,15.899348493900344,15.613276639103963,15.2976543978741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.75,4.0,19.458142460327018,17.550228911203053,18.96623062171979,20.337422296335845,21.189814205557433,21.580488560372675,20.960256185668612,22.697852853953115,21.796572442374053,22.577382897432194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
