time,beamID,lineOfSightWindSpeed1,lineOfSightWindSpeed2,lineOfSightWindSpeed3,lineOfSightWindSpeed4,lineOfSightWindSpeed5,lineOfSightWindSpeed6,lineOfSightWindSpeed7,lineOfSightWindSpeed8,lineOfSightWindSpeed9,lineOfSightWindSpeed10,isValid1,isValid2,isValid3,isValid4,isValid5,isValid6,isValid7,isValid8,isValid9,isValid10
0.0,1.0,16.317193626492664,17.994401528607924,20.019765787499587,19.77657297025529,22.152242267575666,22.840492334809717,22.0906851179503,20.826677076390386,21.419752429445133,21.531038011248107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,2.0,15.943703023885726,15.331977905884232,16.0248648287296,18.04876613414228,19.687328516000893,20.26562901127346,20.18449523520642,19.92476968050913,20.521926978070972,19.897645191679704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,4.0,18.927153509789882,19.750220985875416,20.334255672932848,19.52127287316244,18.41607663028598,18.281015746376177,17.79999700697574,18.079045352469407,18.33668925504575,17.720496005550565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,17.408763661827376,18.307400999708747,19.733017906358263,19.318642703756414,21.660956895640336,21.75669373186946,21.848139460304633,20.792465819661246,21.57491126615035,21.0007077852325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.25,2.0,17.418785356213515,16.081616118765517,17.226237842417017,19.824404100309266,20.10289742860015,20.658492901974064,21.2416306113175,21.007730736795597,21.96535002663579,21.278501637608493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.5,3.0,16.242384751837736,17.160126753745818,20.390549167205826,21.151085277641325,18.999327017179144,18.79123753180131,18.44429279385228,17.270353213725706,17.31974142461149,16.597690232067254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.75,4.0,18.695019467554197,20.11948841922803,19.198942498946654,18.711630035995018,18.173170758437543,17.25278252305611,17.11735899333255,18.306937606624537,18.286329985085967,18.36773863059888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
