0,1000
0.01,1000
0.02,1000
0.03,1000
0.04,1000
0.05,1000
0.06,1000
0.07,1000
0.08,1000
0.09,1000
0.1,1000
0.11,1000
0.12,1000
0.13,1000
0.14,1000
0.15,1000
0.16,1000
0.17,1000
0.18,1000
0.19,1000
0.2,1000
0.21,1000
0.22,1000
0.23,1000
0.24,1000
0.25,1000
0.26,1000
0.27,1000
0.28,1000
0.29,1000
0.3,1000
0.31,1000
0.32,1000
0.33,1000
0.34,1000
0.35,1000
0.36,1000
0.37,1000
0.38,1000
0.39,1000
0.4,1000
0.41,1000
0.42,1000
0.43,1000
0.44,1000
0.45,1000
0.46,1000
0.47,1000
0.48,1000
0.49,1000
0.5,1000
0.51,1000
0.52,1000
0.53,1000
0.54,1000
0.55,1000
0.56,1000
0.57,1000
0.58,1000
0.59,1000
0.6,1000
0.61,1000
0.62,1000
0.63,1000
0.64,1000
0.65,1000
0.66,1000
0.67,1000
0.68,1000
0.69,1000
0.7,1000
0.71,1000
0.72,1000
0.73,1000
0.74,1000
0.75,1000
0.76,1000
0.77,1000
0.78,1000
0.79,1000
0.8,1000
0.81,1000
0.82,1000
0.83,1000
0.84,1000
0.85,1000
0.86,1000
0.87,1000
0.88,1000
0.89,1000
0.9,1000
0.91,1000
0.92,1000
0.93,1000
0.94,1000
0.95,1000
0.96,1000
0.97,1000
0.98,1000
0.99,1000
1,1000
1.01,1000
1.02,1000
1.03,1000
1.04,1000
1.05,1000
1.06,1000
1.07,1000
1.08,1000
1.09,1000
1.1,1000
1.11,1000
1.12,1000
1.13,1000
1.14,1000
1.15,1000
1.16,1000
1.17,1000
1.18,1000
1.19,1000
1.2,1000
1.21,1000
1.22,1000
1.23,1000
1.24,1000
1.25,1000
1.26,1000
1.27,1000
1.28,1000
1.29,1000
1.3,1000
1.31,1000
1.32,1000
1.33,1000
1.34,1000
1.35,1000
1.36,1000
1.37,1000
1.38,1000
1.39,1000
1.4,1000
1.41,1000
1.42,1000
1.43,1000
1.44,1000
1.45,1000
1.46,1000
1.47,1000
1.48,1000
1.49,1000
1.5,1000
1.51,1000
1.52,1000
1.53,1000
1.54,1000
1.55,1000
1.56,1000
1.57,1000
1.58,1000
1.59,1000
1.6,1000
1.61,1000
1.62,1000
1.63,1000
1.64,1000
1.65,1000
1.66,1000
1.67,1000
1.68,1000
1.69,1000
1.7,1000
1.71,1000
1.72,1000
1.73,1000
1.74,1000
1.75,1000
1.76,1000
1.77,1000
1.78,1000
1.79,1000
1.8,1000
1.81,1000
1.82,1000
1.83,1000
1.84,1000
1.85,1000
1.86,1000
1.87,1000
1.88,1000
1.89,1000
1.9,1000
1.91,1000
1.92,1000
1.93,1000
1.94,1000
